FACILITY,SampleDate,Time,BuildingCode,SPCODE,LGT,ADCLIP,CATCH,SALVAGE,sLOSS,Size_Race,DNA_Race,CWT_Race
2,"2021-02-02","18:00","F",1,38,"N",1,4,3.006767398843703,"F","F",
2,"2021-01-18","22:00","F",1,211,"C",1,4,3.883500207416126,"LF",,
2,"2021-02-06","08:00","F",1,250,"C",1,4,3.518966661016067,"LF",,
2,"2021-02-02","08:00","F",1,180,"C",1,4,3.518772966927624,"W",,"LF"
2,"2021-02-06","08:00","F",1,148,"C",1,4,3.518966661016067,"W",,"LF"
2,"2021-02-08","02:00","F",1,161,"C",1,4,3.518961158205371,"W",,"LF"
2,"2021-02-08","14:00","F",1,154,"C",1,4,3.51885877318117,"W",,
1,"2021-02-09","15:00","NS",1,210,"C",1,4,18.06041287525637,"W",,"S"
1,"2021-02-09","09:00","NS",1,150,"C",1,4,16.98701638792311,"W",,"LF"
1,"2021-02-09","11:00","NS",1,153,"C",1,4,17.06718517713591,"W",,"LF"
2,"2021-02-09","12:00","F",1,87,"C",1,4,3.006767398843703,"W",,"S"
2,"2021-02-10","10:00","F",1,172,"C",1,4,3.518946378444783,"W",,"LF"
2,"2021-02-11","23:59","F",1,140,"C",1,4,3.518955959424764,"W",,"LF"
2,"2021-02-21","23:59","F",1,142,"C",1,4,2.88212927756654,"W",,"LF"
2,"2021-02-21","23:59","F",1,92,"C",1,4,2.537189901207464,"W",,"S"
2,"2021-02-21","20:00","F",1,154,"C",1,4,2.882211377249396,"W",,"LF"
2,"2021-02-05","12:00","F",1,77,"C",1,4,3.006825598600233,"S",,"S"
