UnitRowID,VariableName,FromDate,ToDate,Units,SignificantDecimal,CodeListName
13,"AcreFeet",,,"feet",0,
9,"BuildingCode",,,,,"BuildingsLookUp"
4,"Count","01/01/80 00:00:00",,"Individuals",0,
3,"ForkLength","01/01/80 00:00:00",,"Millimeter",0,
14,"MinutesPumping",,,"minutes",0,
5,"OrganismCode","01/01/80 00:00:00",,,,"OrganismsLookUp"
10,"PrimaryBypass",,,"bypass",0,
17,"PrimaryDepth",,,"feet",1,
18,"PrimaryFlow",,,"cfs",1,
6,"SampleDate","01/01/80 00:00:00",,"Gregorian calendar days",,
12,"SampleMethod",,,,,"SampleMethodList"
7,"SampleTime","01/01/80 00:00:00",,"Pacific daylight saving time",0,
15,"SampleTimeLength",,,"minutes",0,
11,"SecondaryDepth",,,"feet",1,
1,"Sex","01/01/80 00:00:00",,,,"SexList"
2,"StudyCode","01/01/80 00:00:00",,,,"StudiesLookUp"
8,"UserName","01/01/80 00:00:00",,,,
16,"WaterTemperature",,,"farenheit",1,
