"Building","Date","Exported_Volume"
"SWP","2020-01-01",8010.21912
"CVP","2020-01-01",10044.22764
"SWP","2020-01-02",5426.07852
"CVP","2020-01-02",10044.22764
"SWP","2020-01-03",4789.60284
"CVP","2020-01-03",10018.32456
"SWP","2020-01-04",5593.8318
"CVP","2020-01-04",9959.11752
"SWP","2020-01-05",5051.1006
"CVP","2020-01-05",10007.22324
"SWP","2020-01-06",6013.215
"CVP","2020-01-06",8700.96792
"SWP","2020-01-07",6347.48808
"CVP","2020-01-07",10263.78708
"SWP","2020-01-08",4685.99052
"CVP","2020-01-08",10359.99852
"SWP","2020-01-09",4715.59404
"CVP","2020-01-09",10332.86196
"SWP","2020-01-10",4732.86276
"CVP","2020-01-10",10252.68576
"SWP","2020-01-11",4719.29448
"CVP","2020-01-11",10294.62408
"SWP","2020-01-12",4771.10064
"CVP","2020-01-12",10261.32012
"SWP","2020-01-13",4750.13148
"CVP","2020-01-13",10288.45668
"SWP","2020-01-14",4759.99932
"CVP","2020-01-14",10437.70776
"SWP","2020-01-15",4758.76584
"CVP","2020-01-15",10431.54036
"SWP","2020-01-16",5583.96396
"CVP","2020-01-16",10288.45668
"SWP","2020-01-17",4703.25924
"CVP","2020-01-17",10056.56244
"SWP","2020-01-18",4726.69536
"CVP","2020-01-18",10110.83556
"SWP","2020-01-19",6405.46164
"CVP","2020-01-19",10237.884
"SWP","2020-01-20",5595.06528
"CVP","2020-01-20",10232.95008
"SWP","2020-01-21",4743.96408
"CVP","2020-01-21",10327.92804
"SWP","2020-01-22",6411.62904
"CVP","2020-01-22",10290.92364
"SWP","2020-01-23",4729.16232
"CVP","2020-01-23",10329.16152
"SWP","2020-01-24",4101.321
"CVP","2020-01-24",10277.35536
"SWP","2020-01-25",6425.19732
"CVP","2020-01-25",10283.52276
"SWP","2020-01-26",5581.497
"CVP","2020-01-26",10267.48752
"SWP","2020-01-27",4730.3958
"CVP","2020-01-27",10258.85316
"SWP","2020-01-28",4700.79228
"CVP","2020-01-28",10231.7166
"SWP","2020-01-29",4748.898
"CVP","2020-01-29",10267.48752
"SWP","2020-01-30",6250.04316
"CVP","2020-01-30",10427.83992
"SWP","2020-01-31",NA
"CVP","2020-01-31",NA
"SWP","2020-02-01",NA
"CVP","2020-02-01",NA
